"Name","Description","Short Description","Product Status","Permalink","Categories","Tags","SKU","Sale Price","Visibility","Stock Status","Price","Regular Price","Total Sales","Downloadable","Virtual","Purchase Note","Weight","Length","Width","Height","Sold Individually","Manage Stock","Stock","Backorders","Featured","Tax Status","Tax Class","Images","Download Limit","Download Expiry","File Path","Product URL","Product Type","Shipping Class","Comment Status","Ping Status"
"康维他蜂胶胶囊PFL15 365粒","<a href=""http://kshop/wp-content/uploads/2015/11/fengjiao_comvita_PFL15_356_memo.jpg""><img class=""alignnone size-full wp-image-2509"" src=""http://kshop/wp-content/uploads/2015/11/fengjiao_comvita_PFL15_356_memo.jpg"" alt=""fengjiao_comvita_PFL15_356_memo"" width=""664"" height=""1469"" /></a>","","publish","http://kshop/product/%e5%ba%b7%e7%bb%b4%e4%bb%96%e8%9c%82%e8%83%b6%e8%83%b6%e5%9b%8apfl15-365%e7%b2%92/","蜂胶","","","150","visible","instock","150","195","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/fengjiao_comvita_PFL15_356.jpg|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"康维他 蜂胶喷喉剂 UMF10+ 20毫升","<strong>【商品名称】</strong>康维他 蜂胶喷喉剂 加强型 20% UMF10+ 20毫升
<strong>【英文名称】</strong>Comvita Propolis Oral Spray EXTRA STRENGTH with UMF10+ 20ml

<strong>【商品规格】</strong>20毫升
<strong>【商品成分】</strong>麦卢卡蜂蜜、蜂胶、薄荷、丁香

<strong>【商品功效】</strong>为了保护家园免受细菌感染及破坏，蜜蜂会采集树脂或树液，并混合自己分泌出的酵素制成抗菌的蜂胶，涂在蜂巢每个入口之上。因此，人们称蜂胶为「最佳的天然防御」。我们在蜂巢上适量提取蜂胶作原料，生产出多款各具效益的产品。
蜂巢的主要功效来自其类黄酮成份，而康维他为其蜂胶产品订立了一个类黄酮含量的显示指标－PFL(Propolis Flavonoids)。
例如，PFL15代表着每个建议服用剂量含有15毫克的类黄酮，PFL30则代表30毫克。

保持口腔健康及卫生；
纾缓喉部不适；
有效防止细菌引致的口气问题，保持口气清新；
蜂胶除了有抗菌的功效，其麻醉作用亦能有助纾缓喉部不适；
治疗口疮及喉部发炎的情况已有数个世纪的历史；
喷洒装置方便顾客直接喷入喉咙底部；
尤其适合治疗冬季流行病（如咳嗽及伤风）的预防及保养

<strong>【服用方法】</strong>成人：按需要直接向口腔或喉部按4-6次。
儿童：按需要直接向口腔或喉部按2-3次。
避免与眼睛接触。两岁或以下小童须征询医生同意方可使用。五岁或以下小童应该由成人协助使用。

<strong>【注意事项】</strong>蜂胶可引起过敏反应。怀孕及哺乳中妇女服食前先征询医生建议。

<strong>【储藏方法】</strong>30摄氏度以下阴凉干燥处，避免阳光直照。","","publish","http://kshop/product/%e5%ba%b7%e7%bb%b4%e4%bb%96-%e8%9c%82%e8%83%b6%e5%96%b7%e5%96%89%e5%89%82-umf10-20%e6%af%ab%e5%8d%87/","蜂胶","","","25","visible","instock","25","32","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/fengjiao_comvit_UMF10_20.jpg|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"帕氏 麦卢卡茶树精油手工香皂 125g","<strong>【产品名称】</strong>Parrs 帕氏 麦卢卡茶树精油手工香皂125g

<strong>【产品规格】</strong>125g

<strong>【原产地】</strong>新西兰","","publish","http://kshop/product/%e5%b8%95%e6%b0%8f-%e9%ba%a6%e5%8d%a2%e5%8d%a1%e8%8c%b6%e6%a0%91%e7%b2%be%e6%b2%b9%e6%89%8b%e5%b7%a5%e9%a6%99%e7%9a%82-125g/","手足护理","","","12","visible","instock","12","15","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/parrs_soap_125g.jpg|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"帕氏 蜂毒面膜 50克","【产品名称】Parrs 帕氏 蜂毒面膜50克

【产品规格】50g

【产品产地】新西兰

【产品介绍】 Parrs花蜜蜂毒面膜，Botox（肉毒杆菌）替代品。能使你的皮肤的外观和感觉瞬间变得年轻光滑。它轻轻刺痛皮肤，让皮肤留下了刺痛感，从而使人体血液直接流入该部位，刺激胶原蛋白和弹性蛋白的生产，放松和加强肌肉，减少皱纹。

【使用方法】如果单独使用：建议在第一次使用前，先做一个小面积皮肤測试。涂抹时请使用一把干净的抹刀。每天早上/晚上，先用洁面乳清洗面部，抹上保湿面霜，然后涂上帕氏花蜜-蜂毒面膜，停留20分钟，再清净。如果搭配套装使用：搭配蜂毒面霜，可淡化皱纹，延缓皮肤衰老。长期搭配使用，还能起到非常明显的美白效果！

蜂毒是一种独特的多组分复合物，其中18种含有生物活性的化合物已被发现具有药理活性。这些化合物已被发现具有药理活性。这些化合物中最主要的成分是酶，肽，氨基糖，磷脂和挥发物。 蜂毒包含了一些独特的低分子肽和“奇迹酶”，例如磷脂酶A2和透支明酸酶。磷脂酶A2可以溶解皮肤细胞的膜，使其他成分渗透到皮肤细胞，所以在蜂毒产品中更有效地工作。 透明质酸酶加快活性成分通过皮肤的速度。这利于对抗皮肤老化，降低老龄化进程。透明质酸酶加速分解旧分子，并激活由皮肤纤维细胞中透明质酸的新的分子的合成，从而改善皮肤的渗透性。 其他的蜂毒肽，蜂毒明肽等也被称为皮肤提供额外的都抗衰老作用：蜂毒肽对红血细胞是有益的，它可以支持深层皮肤的血液循环，从而改善代谢和刺激细胞再生，以及弹性蛋白和胶原蛋白的产生。 此外，蜂毒肽刺激面部肌肉，从而提供了升级和饱满的效果。不是所有蜂毒是一样的，Wild fern venz蜂毒产品确保采用最优质的蜂毒。","","publish","http://kshop/product/%e5%b8%95%e6%b0%8f-%e8%9c%82%e6%af%92%e9%9d%a2%e8%86%9c-50%e5%85%8b/","面部护理","","","30","visible","instock","30","38","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/parrs_bee_face_mask_50g.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"帕氏 新西兰天然花卉浴盐 50g","【产品名称】Parrs 帕氏 新西兰天然花卉浴盐50g 自然芬芳 舒缓压力

<strong>【产品产地】</strong>新西兰

<strong>【产品规格】</strong>50g

<strong>【使用方法】</strong>沐浴前将半包浴盐溶解到加入温水的浴缸中；也可在一盆温水中加入2汤匙浴盐泡脚 。

<strong>【产品介绍】</strong>让自己沉浸在百花的香气里，充满着异国情调的风情。 这些舒缓的盐和香料，帮助释放压力和紧张，使你的身体清香，轻松，充满活力。","","publish","http://kshop/product/%e5%b8%95%e6%b0%8f-%e6%96%b0%e8%a5%bf%e5%85%b0%e5%a4%a9%e7%84%b6%e8%8a%b1%e5%8d%89%e6%b5%b4%e7%9b%90-50g/","全身护理","","","10","visible","instock","10","14","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/parrs_bath_salts_50g.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"好健康 超级鱼油 120粒","<a href=""http://kshop/wp-content/uploads/2015/11/goodhealth_super_omega3_memo.png""><img class=""alignnone size-full wp-image-2525"" src=""http://kshop/wp-content/uploads/2015/11/goodhealth_super_omega3_memo.png"" alt=""goodhealth_super_omega3_memo"" width=""709"" height=""1603"" /></a>","","publish","http://kshop/product/%e5%a5%bd%e5%81%a5%e5%ba%b7-%e8%b6%85%e7%ba%a7%e9%b1%bc%e6%b2%b9-120%e7%b2%92/","预防三高","","","31","visible","instock","31","47","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/goodhealth_super_omega3.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"好健康 超级钙 150tabs","<a href=""http://kshop/wp-content/uploads/2015/11/goodhealth_supercal_150_memo.png""><img class=""alignnone size-full wp-image-2538"" src=""http://kshop/wp-content/uploads/2015/11/goodhealth_supercal_150_memo.png"" alt=""goodhealth_supercal_150_memo"" width=""764"" height=""1852"" /></a>","","publish","http://kshop/product/%e5%a5%bd%e5%81%a5%e5%ba%b7-%e8%b6%85%e7%ba%a7%e9%92%99-150tabs/","维生素/矿物质","","","22","visible","instock","22","32","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/goodhealth_supercal_150.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"好健康 女性综合维生素 60片","【商品名称】好健康 女性综合维生素及矿物质60片
【英文名称】Good Health Womens care - Multi Vitamin &amp; Mineral 1000mg
【规格】60片
【产品成分】每片含有：
维生素：
盐酸硫胺（维生素B1）25毫克
核黄素（维生素B2）20毫克
烟酰胺（维生素B3）100毫克
泛酸钙 55毫克
盐酸吡哆醇（维生素B6）50毫克
叶酸300微克
氰钴胺（维生素B12）50微克
维生素C 100毫克
胆钙化醇（维生素D）20微克
DA-生育酚琥珀酸酯（维生素E）41毫克

矿物质：
氧化镁（相当于60毫克镁）104毫克
钙无水磷酸氢二钠（相当于钙40毫克）136毫克
富马酸亚铁（相当于铁5毫克）16毫克
葡萄糖酸锌（相当于锌5毫克）38毫克
硒代蛋氨酸（相当于硒150微克）373微克
吡啶甲酸铬（相当于铬20微克）161微克
磷酸钾（相当于6毫克钾）21毫克
葡萄糖酸铜（相当于铜2毫克）14毫克
锰氨基酸螯合物（相当于锰500微克）5毫克

【功效】这款女性综合维生素具有独特的综合配方，其中的维生素和矿物质等成分全部为纯天然植物提取，萃取自新西兰纯净无污染环境生长的特殊药草，包括月见草、覆盆子叶、金丝桃草等，特别为女性需要设计。

每日服用1粒，补充你的营养素，以确保头脑和身体功能的健康。

【适宜人群】素食者和完全素食者；繁忙的女性；需要在饮食中添加额外补品的人；需要补铁的女性；运动员和女运动员；压力大人士；抽烟人士；喝酒人士；做大量运动的人；或因经常使用移动电话而需持续补充抗氧化剂的人。

此产品应是完美的女性保健品，特别是对于那些工作在高压力环境下的人或运动员，以及维生素和矿物质的缺乏引起的疲乏和坐立不安。含有月见草油和药草，能缓解神经紧张，并对女性生殖系统有益。

【食用方法】成人每日1片与食物同服或遵医嘱。适合12岁以上的儿童和成人。

【注意事项】远离儿童所能触及的地方。甲状腺肿大或碘敏感者不可使用本产品，除非在医生指导下使用。由于本产品药草含量低，怀孕期或母乳哺育期妇女均能使用，但不可超过剂量。由于金丝桃草会影响一些处方药的效用，如果你正在进行任何处方药物治疗，请先咨询健康专业人士。

【储藏方法】阴凉干燥处，避免阳光直照。","","publish","http://kshop/product/%e5%a5%bd%e5%81%a5%e5%ba%b7-%e5%a5%b3%e6%80%a7%e7%bb%bc%e5%90%88%e7%bb%b4%e7%94%9f%e7%b4%a0-60%e7%89%87/","女性保健","","","23","visible","instock","23","34","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/goodhealth_womencare_60.jpg|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"可瑞康金装奶粉4段6罐包邮","<a href=""http://kshop/wp-content/uploads/2015/11/4duan_karicre_memo.jpg""><img class=""alignnone size-full wp-image-2466"" src=""http://kshop/wp-content/uploads/2015/11/4duan_karicre_memo.jpg"" alt=""4duan_karicre_memo"" width=""731"" height=""1723"" /></a>","","publish","http://kshop/product/%e5%8f%af%e7%91%9e%e5%ba%b7%e9%87%91%e8%a3%85%e5%a5%b6%e7%b2%894%e6%ae%b56%e7%bd%90%e5%8c%85%e9%82%ae/","四段(2岁以上)","","","220","visible","instock","220","330","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/4duan_karicaree.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"可瑞康金装奶粉3段6罐包邮","<a href=""http://kshop/wp-content/uploads/2015/11/3duan_karicre_memo.jpg""><img class=""alignnone size-full wp-image-2463"" src=""http://kshop/wp-content/uploads/2015/11/3duan_karicre_memo.jpg"" alt=""3duan_karicre_memo"" width=""732"" height=""1708"" /></a>","","publish","http://kshop/product/%e5%8f%af%e7%91%9e%e5%ba%b7%e9%87%91%e8%a3%85%e5%a5%b6%e7%b2%893%e6%ae%b56%e7%bd%90%e5%8c%85%e9%82%ae/","三段(1-2岁）","","","220","visible","instock","220","330","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/3duan_karicaree.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"可瑞康金装奶粉2段6罐包邮","<a href=""http://kshop/wp-content/uploads/2015/11/2duan_karicre_memo.jpg""><img class=""alignnone size-full wp-image-2459"" src=""http://kshop/wp-content/uploads/2015/11/2duan_karicre_memo.jpg"" alt=""2duan_karicre_memo"" width=""732"" height=""1778"" /></a>","","publish","http://kshop/product/%e5%8f%af%e7%91%9e%e5%ba%b7%e9%87%91%e8%a3%85%e5%a5%b6%e7%b2%892%e6%ae%b56%e7%bd%90%e5%8c%85%e9%82%ae/","二段 (6-12个月)","","","230","visible","instock","230","245","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/2duan_karicaree.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"可瑞康金装奶粉1段6罐包邮","<a href=""http://kshop/wp-content/uploads/2015/11/1duan_karicre_memo.jpg""><img class=""alignnone size-full wp-image-2457"" src=""http://kshop/wp-content/uploads/2015/11/1duan_karicre_memo.jpg"" alt=""1duan_karicre_memo"" width=""726"" height=""1775"" /></a>","","publish","http://kshop/product/%e5%8f%af%e7%91%9e%e5%ba%b7%e9%87%91%e8%a3%85%e5%a5%b6%e7%b2%891%e6%ae%b56%e7%bd%90%e5%8c%85%e9%82%ae/","一段(0-6个月）","","","230","visible","instock","230","245","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/1duan_karicaree.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"可瑞康 Aptamil金装4段奶粉6罐包邮","<a href=""http://kshop/wp-content/uploads/2015/11/4duan_aptamil_memo.jpg""><img class=""alignnone size-full wp-image-2451"" src=""http://kshop/wp-content/uploads/2015/11/4duan_aptamil_memo.jpg"" alt=""4duan_aptamil_memo"" width=""787"" height=""3333"" /></a>","<strong>【名称】</strong><strong>Karicare升级版：爱他美金装加强婴儿奶粉4段</strong>

<strong>【规格】900克/罐
【产地】新西兰
【适用】2岁以上
【存储】请放在阴凉干燥处，开封后4周内吃完</strong>","publish","http://kshop/product/%e5%8f%af%e7%91%9e%e5%ba%b7-aptamil%e7%88%b1%e4%bb%96%e7%be%8e%e9%87%91%e8%a3%854%e6%ae%b5%e5%a5%b6%e7%b2%89/","四段(2岁以上)","","","250","visible","instock","250","260","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/4duan_aptamil.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"可瑞康 Aptamil金装3段奶粉6罐包邮","<a href=""http://kshop/wp-content/uploads/2015/11/3duan_aptamil_memo2.jpg""><img class=""alignnone size-full wp-image-2443"" src=""http://kshop/wp-content/uploads/2015/11/3duan_aptamil_memo2.jpg"" alt=""3duan_aptamil_memo"" width=""787"" height=""2764"" /></a>","<strong>【名称】新西兰</strong>KaricareAptamil<strong>爱他美金装加强婴儿奶粉 3段</strong>

<strong>【规格】900克/罐
【产地】新西兰
【适用】1岁以上
【存储】请放在阴凉干燥处，开封后4周内吃完</strong>","publish","http://kshop/product/%e5%8f%af%e7%91%9e%e5%ba%b7-aptamil%e9%87%91%e8%a3%853%e6%ae%b5%e5%a5%b6%e7%b2%896%e7%bd%90%e5%8c%85%e9%82%ae/","三段(1-2岁）","","","250","visible","instock","250","260","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/3duan_aptamil.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"可瑞康 Aptamil金装2段奶粉6罐包邮","<a href=""http://kshop/wp-content/uploads/2015/11/2duanmemo.jpg""><img class=""alignnone size-full wp-image-2437"" src=""http://kshop/wp-content/uploads/2015/11/2duanmemo.jpg"" alt=""2duanmemo"" width=""785"" height=""5270"" /></a>","<div><strong>【名称】Karicare升级版：爱他美金装加强婴儿奶粉（6--12个月）</strong></div>
<div><strong>【规格】900克/罐</strong></div>
<div><strong>【产地】新西兰</strong></div>
<div><strong>【适用】6-12个月</strong></div>
<div><strong>【存储】请放在阴凉干燥处，开封后4周内吃完</strong></div>","publish","http://kshop/product/%e5%8f%af%e7%91%9e%e5%ba%b7-aptamil%e7%88%b1%e4%bb%96%e7%be%8e%e9%87%91%e8%a3%852%e6%ae%b5%e5%a9%b4%e5%b9%bc%e5%84%bf%e5%a5%b6%e7%b2%89/","二段 (6-12个月)","","","280","visible","instock","280","290","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/2duan_aptamil.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"可瑞康 Aptamil金装1段奶粉6罐包邮","<a href=""http://kshop/wp-content/uploads/2015/11/1duanmemo.jpg""><img class=""alignnone size-full wp-image-2433"" src=""http://kshop/wp-content/uploads/2015/11/1duanmemo.jpg"" alt=""1duanmemo"" width=""790"" height=""1317"" /></a>","<div><strong>【名称】Karicare升级版：爱他美金装加强婴儿奶粉1段（0--6个月）</strong></div>
<div><strong>【规格】900克/罐</strong></div>
<div><strong>【产地】新西兰</strong></div>
<div><strong>【适用】0-6个月</strong></div>
<div><strong>【存储】请放在阴凉干燥处，开封后4周内吃完</strong></div>","publish","http://kshop/product/%e7%88%b1%e4%bb%96%e7%be%8e1%e6%ae%b5%e7%89%9b%e5%a5%b6%e7%b2%89%e6%95%b4%e7%ae%b16%e7%bd%90/","一段(0-6个月）","","","270","visible","instock","270","290","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/1duan_aptamil.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
